品名,地區,判定係數
甘薯,板橋區,0.9124456576685877
薑,板橋區,0.0
茭白筍,板橋區,0.0
菱角,板橋區,-2.220446049250313e-16
大心菜,板橋區,0.0
薯蕷,板橋區,0.0
蘆筍,板橋區,0.0
球莖甘藍,板橋區,0.0
芽菜類,板橋區,0.9972039713585515
洋香瓜,板橋區,0.0
蘋果,板橋區,0.9614425897904232
柿子,板橋區,0.0
椰子,三重區,0.0
棗子,三重區,0.0
釋迦,三重區,0.0
草莓,三重區,0.9996019856586903
藍莓,三重區,0.9634999377234221
百香果,三重區,0.0
甘蔗,三重區,0.0
小番茄,三重區,0.9481622395356427
火龍果,三重區,0.9568172299998582
櫻桃,三重區,0.0
石榴,三重區,0.0
其他,三重區,0.0
香蕉,三重區,0.0
鳳梨,三重區,0.0
椪柑,三重區,0.0
茂谷柑,三重區,0.0
紅柑,三重區,
佛利檬,三重區,0.0
桶柑,三重區,0.0
海梨,三重區,
甜橙,三重區,0.0
雜柑,三重區,-2.220446049250313e-16
黃秋葵,三重區,0.0
花椰菜,三重區,0.977566904521737
胡瓜,三重區,0.9451086132339493
花胡瓜,三重區,0.9502498780555573
絲瓜,三重區,0.8849686847599165
苦瓜,三重區,0.885348330408975
扁蒲,三重區,0.982620320855615
茄子,三重區,0.9251783219962145
蕃茄,三重區,0.7633415057311768
甜椒,三重區,0.0
豌豆,三重區,0.0
菜豆,三重區,0.869507484307098
敏豆,三重區,0.8678867021886592
萊豆,三重區,0.0
毛豆,三重區,-2.220446049250313e-16
青花苔,三重區,0.0
南瓜,三重區,0.9138168781025924
隼人瓜,三重區,0.0
辣椒,三重區,0.6382910527895962
洛神花,三重區,-inf
虎豆,三重區,0.0
玉米,三重區,0.9037634408602151
落花生,三重區,-2.220446049250313e-16
蛋黃果,三重區,0.0
黃金果,三重區,0.0
酪梨,三重區,0.0
奇異果,三重區,0.9900762218953733
橄欖,三重區,0.0
波羅蜜,三重區,0.9882743569586991
葡萄柚,三重區,0.0
木瓜,三重區,0.995011937916237
龍眼,三重區,0.0
枇杷,三重區,0.0
甘藍,三重區,0.0
小白菜,三重區,0.8550839276260471
包心白菜,三重區,0.0
青江白菜,三重區,0.86368667938011
蕹菜,三重區,0.0
芹菜,三重區,0.0
菠菜,三重區,0.0
萵苣菜,三重區,0.8669321432479327
芥菜,三重區,0.0
芥藍菜,三重區,0.9678071422068534
茼蒿,三重區,0.0
莧菜,三重區,0.0
油菜,三重區,-2.220446049250313e-16
甘藷葉,三重區,0.9438170658549805
芫荽,三重區,0.0
九層塔,三重區,0.9280052704554603
紅鳳菜,三重區,0.0
茴香,三重區,-2.220446049250313e-16
海菜,三重區,0.0
蕨菜,三重區,0.0
楊桃,三重區,0.8671373768106356
洋菇,三重區,-2.220446049250313e-16
濕木耳,三重區,0.0
溼香菇,三重區,0.0
百合,台中市,0.0
香蕉,東勢鎮,2.220446049250313e-16
椪柑,東勢鎮,0.0
茂谷柑,東勢鎮,0.0
桶柑,東勢鎮,0.0
海梨,東勢鎮,
雜柑,東勢鎮,0.9384756386724558
梨,東勢鎮,0.9115382617944785
柿子,東勢鎮,0.0
花椰菜,永靖鄉,0.0
胡瓜,永靖鄉,0.0
苦瓜,永靖鄉,0.0
茄子,永靖鄉,0.0
菜豆,永靖鄉,1.1102230246251565e-16
