查詢交易日期,查詢市場,日期,市場,產品,上價,中價,下價,平均價(元/公斤),跟前一交易日比較%,交易量(公斤),跟前一交易日比較%
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,O5 梨 豐水梨 ,101.4,61.6,32.9,63.8, +  2,"8,155", + 20
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,O8 梨 4029梨 ,82.0,68.0,30.9,63.4, -  1,768, - 34
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,O99 梨 西洋梨進口 ,101.4,71.6,66.7,76.6,  -  ,"1,560",  -  
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,P1 番石榴 珍珠芭 ,35.2,18.6,9.4,20.1, -  8,"41,010", +  8
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,P2 番石榴 紅心 ,70.0,62.3,43.0,60.0,  -  ,27,  -  
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,P3 番石榴 帝王芭 ,73.0,32.9,17.6,37.9, - 19,645, + 39
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,Q0 蓮霧 其他 ,305.3,107.4,34.8,132.4, +  0,485, + 27
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,Q1 蓮霧 紅蓮霧 ,50.4,34.1,18.6,34.3, +  2,905, + 19
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,Q2 蓮霧 子彈型 ,42.7,28.7,15.1,28.8, - 44,864, +999
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,Q3 蓮霧 翠玉 ,55.0,53.9,50.0,53.3,  -  ,45,  -  
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,Q4 蓮霧 巴掌蓮霧 ,39.6,32.4,23.6,32.1, - 40,92, +100
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,R0 芒果 其他 ,80.1,35.7,18.9,41.2, -  0,"1,676", +120
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,R1 芒果 愛文 ,64.6,37.0,20.4,39.2, - 14,"58,099", + 38
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,R2 芒果 玉文 ,38.8,24.4,15.1,25.4, - 24,"1,217", + 10
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,R3 芒果 本島 ,98.2,44.3,14.1,49.1, - 15,820, + 34
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,R31 芒果 夏雪 ,106.1,70.1,37.3,70.7, -  6,446, -  3
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,R4 芒果 凱特 ,20.0,16.0,12.0,16.0,  -  ,48,  -  
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,R5 芒果 黑香金興 ,54.6,25.5,15.6,29.3, +  1,"1,018", + 34
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,R6 芒果 金煌 ,38.5,25.0,14.0,25.5, - 11,"8,214", + 19
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,R8 芒果 芒果青 ,17.2,13.0,5.1,12.3,    0,"1,940", +  4
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,S1 葡萄 巨峰 ,100.9,53.0,32.5,58.5, -  6,"3,512", -  1
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,S49 葡萄 無子進口 ,33.3,29.5,20.0,28.4, - 36,"1,530", + 38
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,S9 葡萄 進口 ,113.8,32.5,24.6,47.2, - 69,"8,181", +646
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,T1 西瓜 大西瓜 ,18.0,14.1,9.9,14.0, + 21,"22,427", +465
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,T5 西瓜 黃肉 ,26.5,21.9,13.6,21.1, +  1,"9,995", + 11
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,T7 西瓜 秀鈴 ,11.5,9.4,8.0,9.5,    0,"1,380", - 40
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,V1 甜瓜 美濃 ,31.4,24.2,12.0,23.2, + 15,"1,138", +163
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,V2 甜瓜 溫室吊瓜 ,124.4,84.4,33.2,82.2, - 12,"1,177", + 15
109/06/08 ~ 109/06/10 (農曆:109/04/17* ~ 109/04/19*),全部市場,109/06/09,104 台北二  ,W0 洋香瓜 其他 ,150.0,106.3,73.3,108.5, + 12,"1,292", + 24
